GO,NN1,NN2,NN3,ON1,ON2,ON3,NO1,NO2,NO3,OO1,OO2,OO3
Fatty acid beta-oxidation using ACAD,192.7536,214.8063667,163.4636333,203.9884667,164.1294667,140.6239,262.4154,243.0029333,326.8472334,245.4708667,251.9442333,228.3902333
Nicotinamide nucleotide metabolic process,1979.079233,2223.4085,1856.340167,1906.5036,1841.508733,1814.8082,1905.1551,1627.3709,2336.661333,1745.7964,1763.407833,1819.211867
tRNA aminoacylation for protein translation,323.9703667,511.6471,634.9624333,540.7805334,599.4236,463.4071333,684.4124,771.3198,477.5324,854.4217333,753.2780333,753.9456667
Oxidation-reduction process,379.0890333,448.3912333,384.8861667,589.3284333,525.5634,485.4793333,924.9783333,976.8197778,1092.1734,988.9826333,928.7855,918.6445
Translation,4184.975467,5116.546933,5034.262633,4748.1757,5494.718967,5329.107133,5086.104567,5451.633789,3173.781933,6232.819634,5997.903333,6032.9662
cellular amino acid metabolic process,1381.696833,1663.732567,1807.378333,1876.797567,1893.182767,1424.6185,2070.890167,2241.206056,1981.755467,2459.014333,2270.038467,2327.3154
Cellular oxidant detoxification,1466.317467,1566.7567,1420.354733,1413.8775,1489.860033,1486.671267,1426.556833,1326.572411,1305.668033,1392.2456,1304.268,1344.8864
Oxidoreduction coenzyme metabolic process,2003.520767,2244.615,1873.2778,1923.133333,1856.9014,1831.408433,1940.3454,1654.453167,2364.575667,1780.228967,1804.0774,1849.487567
Hexose metabolic process,1806.1967,1731.563867,1995.420767,1725.2576,1714.121867,1632.225033,1750.2809,1528.3169,2047.768133,1620.5234,1665.746233,1671.037033
Lipid homeostasis,197.2609,218.3289333,167.1336333,210.7966667,168.217,140.6239,262.4154,243.0029333,324.7526334,245.4708667,260.8444333,239.0338
Protein folding,2815.542267,3101.970633,2479.631067,2353.661467,2858.317667,2884.592633,2392.0928,2432.727167,3422.757533,2672.955767,2727.731433,2764.466833
Ribonucleoprotein complex assembly,619.415,663.1873666,672.1560667,765.2892667,738.8976,771.0804334,853.4221667,977.0728889,612.9251,860.8118333,781.0453001,761.9223333
Alpha-amino acid biosynthetic process,348.4294,475.4172334,531.2694667,604.7930333,457.0189,419.2438333,592.0675,638.5166,743.4343666,711.4337333,697.0635333,717.8273
Small molecule biosynthetic process,1260.389467,1285.664267,1678.382233,1627.2617,1365.208833,1276.656033,1434.210667,1450.247656,1574.982867,1647.761267,1658.8589,1643.028933
Vesicle organization,381.3368667,433.6129666,478.1520333,420.5007,410.1492667,329.1868,490.0834333,481.2665444,285.0891,623.3611,572.5681333,606.5583333
Serine-type endopeptidase inhib. activity,387.8851333,330.5933,304.1232667,356.6033333,276.5956666,250.2860667,455.9196667,478.3587556,264.9315333,507.2776333,516.2725333,517.8010334
GTP binding,3135.932633,3508.054367,4609.783833,3857.727567,4013.918367,3744.625367,4234.983267,4207.361955,3834.1009,4175.1084,4142.3711,4267.0379
NAD binding,648.7504,908.4329334,843.5062667,753.7464666,810.2245,695.7431333,927.8294667,767.8558556,1262.533767,778.4525,745.0263,732.0634667
Oxidoreductase activity (flavin),192.7536,214.8063667,163.4636333,203.9884667,164.1294667,140.6239,262.4154,243.0029333,326.8472334,245.4708667,251.9442333,228.3902333
Pyridoxal phosphate binding,691.8004333,594.4843,747.1649333,748.8797333,706.3266,749.7451667,841.6128334,878.3390111,887.3208333,864.8630334,822.4275,836.4970667
Transaminase activity,281.2327,224.3251,287.7381,299.9894,283.803,195.2883333,365.9433333,375.7539778,399.5553333,349.6157333,363.2708667,371.7912333
Translation initiation factor activity,84.52136666,140.5657333,71.5987,99.83856667,119.1313667,111.1499,123.7257667,125.0395889,91.4444,176.6339,142.6933667,156.5056
Catalytic step 2 spliceosome,38.75096667,49.0204,85.0202,75.01836667,24.63296666,96.343,72.74203334,132.0014444,50.69456667,130.2156333,101.9309,115.6495667
Cytosolic large ribosomal subunit,912.1578667,864.4694,870.4418334,1066.5129,975.9987,833.0894,1191.6477,1264.6598,359.2311,1384.370733,1357.273633,1331.1861
Endosome,657.4268667,730.2523,585.0028,614.1749001,678.2417333,521.8316,726.0595,731.9122666,660.0165,813.9174333,835.2443333,810.8086666
Mitochondrion,1936.800333,1538.852567,1650.101367,1962.990533,1673.751533,1602.089633,2126.966533,2128.116944,2247.509067,2283.771967,2266.8373,2278.572067
Proteasome regulatory particle (b.s.),59.32520001,78.54946667,87.409,97.31833333,117.3636667,80.687,104.8352667,141.8587556,133.8547667,134.1763,109.1490333,113.6441
