K10a,K10b,K10c,K11a,K11b,K11c,K12a,K12b,K12c,K13a,K13b,K13c,K14a,K14b,K14c,K15a,K15b,K15c,K16a,K16b ,K16c,K17a,K17c,K18a,K18b,K18c,K19a,K19b,K19d,K20a,K20b,K20c,K21a,K21b,K21c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,3,2,4,4,4,4,5,3,3,2,1,2,3,3,3,1,0,2,2,3,6,3,1,2,3,1,3,2,2,2,4,1,1,2
99,61,90,120,101,134,272,205,257,127,198,249,132,181,227,156,184,192,151,98,108,132,94,75,76,73,119,117,95,117,116,124,124,123,112
1,0,0,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2,1,1,2,0,2,3
0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,2,2,2,2,1,1,2,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,2,2,2,1,1,0,1,1,0,0,0,0,1,1,0,1
1,0,0,0,1,0,2,1,2,1,0,0,1,0,0,1,0,0,2,2,2,4,2,0,0,0,3,5,2,4,4,4,5,2,4
3,3,2,3,3,2,0,1,2,2,2,0,1,3,1,1,0,1,0,2,1,0,2,0,2,1,2,0,3,2,2,2,1,1,2
1,3,1,6,4,1,0,0,0,0,0,0,2,2,2,1,1,1,0,3,1,2,0,2,1,3,8,6,6,8,6,8,7,8,6
0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,1,1,1,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,1,1,0,2,0,1,1,1,2,1,2,1,1,1
0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,8,4,3,6,1,3,2,2,9,3,3,4,2,2,3,4,5,2,6,5,4,5,3,1,5,4,3,5,2,2,4,2,3,1
0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,2,1,2,1,0,0,0,2,2,3,1,2,2,3,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7,9,3,11,8,8,8,10,5,10,8,8,10,4,6,11,4,8,5,9,9,8,8,3,2,2,9,7,8,6,6,6,5,9,8
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0
5,6,7,11,10,10,20,21,15,13,11,8,7,6,4,15,17,17,18,17,17,15,17,10,10,8,16,14,17,13,14,15,13,13,14
0,0,0,2,2,1,1,2,2,4,1,1,5,1,1,1,1,1,2,4,3,3,3,0,1,0,3,2,4,2,3,3,2,2,2
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,8,8,7,8,5,10,9,8,11,12,6,13,10,6,10,10,7,10,10,9,12,2,1,2,10,9,8,8,8,9,6,10,10
3,6,5,8,7,6,5,6,6,5,5,10,4,4,2,4,2,1,9,9,7,8,8,5,9,8,8,8,9,8,7,8,6,7,7
2,3,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,3,4,2,1,3,1,3,3,3,3,2,4,4,4,3
0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,2,2,2,1,1,3
0,1,0,1,0,0,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,3,1,4,3,5,2,1,2,2,1,1,3,3,1,2,2,1,0,1,1,0,0,1,2,1,2,4,2,3,4,3,3,3,2
0,2,0,2,0,1,0,1,1,2,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1
2,5,0,3,2,1,1,2,1,3,1,0,2,0,1,1,0,1,1,3,3,3,2,0,1,0,4,4,3,5,4,5,3,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,1,1,0,1,0,1,2,1,1,3,1,2,3,2
0,0,0,1,1,1,0,0,0,2,0,0,2,0,0,1,2,0,1,2,1,0,4,0,0,0,1,2,1,2,2,3,4,4,2
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
