Site,Indiv,Origin,Treatment,Thickness
SiteN,N1,SiteN,NN,2.97
SiteN,N1,SiteN,NN,2.98
SiteN,N1,SiteN,NN,2.85
SiteN,N1,SiteN,NN,2.75
SiteN,N1,SiteN,NN,3.18
SiteN,N1,SiteN,NN,2.79
SiteN,N1,SiteN,NN,3.13
SiteN,N1,SiteN,NN,2.9
SiteN,N1,SiteN,NN,3.07
SiteN,N1,SiteN,NN,2.87
SiteN,N2,SiteN,NN,2.85
SiteN,N2,SiteN,NN,2.86
SiteN,N2,SiteN,NN,2.75
SiteN,N2,SiteN,NN,2.55
SiteN,N2,SiteN,NN,2.75
SiteN,N2,SiteN,NN,3.04
SiteN,N2,SiteN,NN,2.82
SiteN,N2,SiteN,NN,2.84
SiteN,N2,SiteN,NN,2.99
SiteN,N2,SiteN,NN,2.75
SiteN,N3,SiteN,NN,3.89
SiteN,N3,SiteN,NN,4.11
SiteN,N3,SiteN,NN,4.39
SiteN,N3,SiteN,NN,4.01
SiteN,N3,SiteN,NN,4.45
SiteN,N3,SiteN,NN,3.85
SiteN,N3,SiteN,NN,3.38
SiteN,N3,SiteN,NN,3.89
SiteN,N3,SiteN,NN,3.9
SiteN,N3,SiteN,NN,3.56
SiteN,N4,SiteN,NN,2.3
SiteN,N4,SiteN,NN,2.12
SiteN,N4,SiteN,NN,2.32
SiteN,N4,SiteN,NN,2.36
SiteN,N4,SiteN,NN,2.56
SiteN,N4,SiteN,NN,2.2
SiteN,N4,SiteN,NN,2.1
SiteN,N4,SiteN,NN,2.72
SiteN,N4,SiteN,NN,2.4
SiteN,N4,SiteN,NN,2.51
SiteN,N5,SiteN,NN,2.75
SiteN,N5,SiteN,NN,2.65
SiteN,N5,SiteN,NN,3.17
SiteN,N5,SiteN,NN,2.87
SiteN,N5,SiteN,NN,2.56
SiteN,N5,SiteN,NN,2.81
SiteN,N5,SiteN,NN,3.3
SiteN,N5,SiteN,NN,3.39
SiteN,N5,SiteN,NN,3.56
SiteN,N5,SiteN,NN,3.09
SiteN,C1,SiteC,ON,2.76
SiteN,C1,SiteC,ON,2.76
SiteN,C1,SiteC,ON,2.6
SiteN,C1,SiteC,ON,2.42
SiteN,C1,SiteC,ON,2.42
SiteN,C1,SiteC,ON,1.94
SiteN,C1,SiteC,ON,2.15
SiteN,C1,SiteC,ON,2.35
SiteN,C1,SiteC,ON,2.35
SiteN,C1,SiteC,ON,2.75
SiteN,C2,SiteC,ON,2.17
SiteN,C2,SiteC,ON,1.96
SiteN,C2,SiteC,ON,2.23
SiteN,C2,SiteC,ON,2.24
SiteN,C2,SiteC,ON,2.31
SiteN,C2,SiteC,ON,2.33
SiteN,C2,SiteC,ON,2.32
SiteN,C2,SiteC,ON,2.3
SiteN,C2,SiteC,ON,2.53
SiteN,C2,SiteC,ON,2.47
SiteN,C3,SiteC,ON,1.95
SiteN,C3,SiteC,ON,1.67
SiteN,C3,SiteC,ON,1.5
SiteN,C3,SiteC,ON,1.59
SiteN,C3,SiteC,ON,2.85
SiteN,C3,SiteC,ON,2.22
SiteN,C3,SiteC,ON,2.06
SiteN,C3,SiteC,ON,1.77
SiteN,C3,SiteC,ON,1.82
SiteN,C3,SiteC,ON,2.03
SiteN,C4,SiteC,ON,3.69
SiteN,C4,SiteC,ON,4.02
SiteN,C4,SiteC,ON,4.35
SiteN,C4,SiteC,ON,4.07
SiteN,C4,SiteC,ON,3.84
SiteN,C4,SiteC,ON,3.64
SiteN,C4,SiteC,ON,4.24
SiteN,C4,SiteC,ON,4.23
SiteN,C4,SiteC,ON,3.77
SiteN,C4,SiteC,ON,3.99
SiteN,C5,SiteC,ON,2.61
SiteN,C5,SiteC,ON,2.23
SiteN,C5,SiteC,ON,2.07
SiteN,C5,SiteC,ON,2.23
SiteN,C5,SiteC,ON,2.47
SiteN,C5,SiteC,ON,2.2
SiteN,C5,SiteC,ON,1.96
SiteN,C5,SiteC,ON,2.24
SiteN,C5,SiteC,ON,2.68
SiteN,C5,SiteC,ON,2.23
SiteC,N1,SiteN,NO,2.86
SiteC,N1,SiteN,NO,2.75
SiteC,N1,SiteN,NO,2.47
SiteC,N1,SiteN,NO,2.73
SiteC,N1,SiteN,NO,2.66
SiteC,N1,SiteN,NO,2.31
SiteC,N1,SiteN,NO,3.11
SiteC,N1,SiteN,NO,3.03
SiteC,N1,SiteN,NO,2.86
SiteC,N1,SiteN,NO,2.91
SiteC,N2,SiteN,NO,3.33
SiteC,N2,SiteN,NO,3.34
SiteC,N2,SiteN,NO,3.55
SiteC,N2,SiteN,NO,3.33
SiteC,N2,SiteN,NO,2.87
SiteC,N2,SiteN,NO,3.03
SiteC,N2,SiteN,NO,3.54
SiteC,N2,SiteN,NO,3.84
SiteC,N2,SiteN,NO,3.82
SiteC,N2,SiteN,NO,3.53
SiteC,N3,SiteN,NO,3.8
SiteC,N3,SiteN,NO,4.15
SiteC,N3,SiteN,NO,4.33
