BP,NN1,NN2,NN3,ON1,ON2,ON3,NO1,NO2,NO3,OO1,OO2,OO3
Intracellular protein transport,936.3571999,761.3960667,969.0632,871.5197,794.3841,737.4232667,967.8181333,1041.763111,839.2712999,1009.660933,875.4585,959.9538333
Fatty acid beta-oxidation using ACAD,192.7536,214.8063667,163.4636333,203.9884667,164.1294667,140.6239,262.4154,243.0029333,326.8472334,245.4708667,251.9442333,228.3902333
Tricarboxylic acid cycle,808.8944334,893.8416,944.4538667,993.7521,1045.478267,860.5064333,998.7047334,911.5688445,1080.752933,917.5307,856.6364333,826.0559333
Purine ribonuc. monophosphate biosynth.,1676.457133,1522.347067,1417.268933,1684.951633,1539.2711,1501.202533,1628.589933,1742.051844,1953.625333,1428.581,1440.4971,1460.6631
ATP metabolic process,3372.3837,3476.7446,2990.807633,3339.621267,3149.726367,3177.717433,3413.558133,3173.559278,4031.1097,2890.118733,3057.7704,3091.0176
Arp2/3 complex-mediated actin nucleation,687.5460333,625.6611666,783.5713333,744.4889665,762.8461999,870.2134667,750.0386668,703.9386556,714.018,757.172,784.3069667,765.1490667
Nicotinamide nucleotide metabolic process,1979.079233,2223.4085,1856.340167,1906.5036,1841.508733,1814.8082,1905.1551,1627.3709,2336.661333,1745.7964,1763.407833,1819.211867
tRNA aminoacylation for protein translation,323.9703667,511.6471,634.9624333,540.7805334,599.4236,463.4071333,684.4124,771.3198,477.5324,854.4217333,753.2780333,753.9456667
Oxidation-reduction process,379.0890333,448.3912333,384.8861667,589.3284333,525.5634,485.4793333,924.9783333,976.8197778,1092.1734,988.9826333,928.7855,918.6445
Translation,4184.975467,5116.546933,5034.262633,4748.1757,5494.718967,5329.107133,5086.104567,5451.633789,3173.781933,6232.819634,5997.903333,6032.9662
cellular amino acid metabolic process,1381.696833,1663.732567,1807.378333,1876.797567,1893.182767,1424.6185,2070.890167,2241.206056,1981.755467,2459.014333,2270.038467,2327.3154
Cellular oxidant detoxification,1466.317467,1566.7567,1420.354733,1413.8775,1489.860033,1486.671267,1426.556833,1326.572411,1305.668033,1392.2456,1304.268,1344.8864
Coenzyme biosynthetic process,415.1164,332.5335667,318.3806,384.7725333,261.8372667,251.9746333,390.9345,373.3698,412.3216667,440.2435333,375.0217,371.6502667
Oxidoreduction coenzyme metabolic process,2003.520767,2244.615,1873.2778,1923.133333,1856.9014,1831.408433,1940.3454,1654.453167,2364.575667,1780.228967,1804.0774,1849.487567
Chitin catabolic process,127.0446333,104.3443333,120.4150333,66.8781,69.2708,149.8194,135.2036333,92.74607777,87.74109999,99.8384,78.9151,76.34463333
Hexose metabolic process,1806.1967,1731.563867,1995.420767,1725.2576,1714.121867,1632.225033,1750.2809,1528.3169,2047.768133,1620.5234,1665.746233,1671.037033
Lipid homeostasis,197.2609,218.3289333,167.1336333,210.7966667,168.217,140.6239,262.4154,243.0029333,324.7526334,245.4708667,260.8444333,239.0338
Protein folding,2815.542267,3101.970633,2479.631067,2353.661467,2858.317667,2884.592633,2392.0928,2432.727167,3422.757533,2672.955767,2727.731433,2764.466833
Ribonucleoprotein complex assembly,619.415,663.1873666,672.1560667,765.2892667,738.8976,771.0804334,853.4221667,977.0728889,612.9251,860.8118333,781.0453001,761.9223333
Dicarboxylic acid metabolic process,953.2207667,984.2253667,1043.585933,1118.833033,1155.195133,1047.8037,1083.811967,988.1395222,1113.305333,1020.258767,967.5060333,960.9209667
Alpha-amino acid biosynthetic process,348.4294,475.4172334,531.2694667,604.7930333,457.0189,419.2438333,592.0675,638.5166,743.4343666,711.4337333,697.0635333,717.8273
Small molecule biosynthetic process,1260.389467,1285.664267,1678.382233,1627.2617,1365.208833,1276.656033,1434.210667,1450.247656,1574.982867,1647.761267,1658.8589,1643.028933
Carboxylic acid catabolic process,482.1041,467.4397667,417.1355333,586.4871667,522.0456666,368.7420667,554.3699,597.6607667,593.0826333,581.0812333,536.6705333,513.8730333
Vesicle organization,381.3368667,433.6129666,478.1520333,420.5007,410.1492667,329.1868,490.0834333,481.2665444,285.0891,623.3611,572.5681333,606.5583333
Translational initiation,696.8667333,1480.290533,1329.364967,922.4687,1266.8076,1326.323667,814.9363,1063.125633,650.7721,819.3282333,789.6468,792.2524667
Formation of translation preinitiation complex,46.35476666,52.09853333,33.27103333,48.53026667,58.92646667,62.17293333,63.3174,50.84406666,57.9818,60.94583334,61.33203333,69.04806667
