GO,NN1,NN2,NN3,ON1,ON2,ON3,NO1,NO2,NO3,OO1,OO2,OO3
Serine-type endopeptidase inhib. activity,387.8851333,330.5933,304.1232667,356.6033333,276.5956666,250.2860667,455.9196667,478.3587556,264.9315333,507.2776333,516.2725333,517.8010334
GTP binding,3135.932633,3508.054367,4609.783833,3857.727567,4013.918367,3744.625367,4234.983267,4207.361955,3834.1009,4175.1084,4142.3711,4267.0379
Hydro-lyase activity,615.8519667,834.9297999,714.0874333,748.7693666,803.4005334,713.7608667,630.1102,664.2768667,784.6311333,623.769,611.1754666,586.7118333
Phosphotransferases,266.1163,262.7481,237.0369,276.3436,258.7431334,202.7113667,259.5695334,263.0341778,257.4099,280.7549334,263.7765667,232.5396333
NAD binding,648.7504,908.4329334,843.5062667,753.7464666,810.2245,695.7431333,927.8294667,767.8558556,1262.533767,778.4525,745.0263,732.0634667
Oxidoreductase activity (flavin),192.7536,214.8063667,163.4636333,203.9884667,164.1294667,140.6239,262.4154,243.0029333,326.8472334,245.4708667,251.9442333,228.3902333
Pyridoxal phosphate binding,691.8004333,594.4843,747.1649333,748.8797333,706.3266,749.7451667,841.6128334,878.3390111,887.3208333,864.8630334,822.4275,836.4970667
Transaminase activity,281.2327,224.3251,287.7381,299.9894,283.803,195.2883333,365.9433333,375.7539778,399.5553333,349.6157333,363.2708667,371.7912333
Translation initiation factor activity,84.52136666,140.5657333,71.5987,99.83856667,119.1313667,111.1499,123.7257667,125.0395889,91.4444,176.6339,142.6933667,156.5056
Catalytic step 2 spliceosome,38.75096667,49.0204,85.0202,75.01836667,24.63296666,96.343,72.74203334,132.0014444,50.69456667,130.2156333,101.9309,115.6495667
Clathrin coat,338.9576666,259.3090667,352.9902333,340.9403333,290.0706333,262.3690667,403.4424667,431.5761222,326.646,368.5772,326.5264,344.4708333
Cytosolic large ribosomal subunit,912.1578667,864.4694,870.4418334,1066.5129,975.9987,833.0894,1191.6477,1264.6598,359.2311,1384.370733,1357.273633,1331.1861
Endosome,657.4268667,730.2523,585.0028,614.1749001,678.2417333,521.8316,726.0595,731.9122666,660.0165,813.9174333,835.2443333,810.8086666
Eukaryotic transl. ini. F3 complex,41.8446,45.50613333,29.55046667,39.48823334,52.98686667,56.01253333,52.99216667,42.33382222,42.90673333,48.06993334,44.1395,44.0195
Extracellular exosome,540.6974,528.7585667,409.2339666,549.1136,584.8872333,477.2724333,540.3701334,556.6368777,570.5486666,548.2586333,515.3542999,543.2952667
Extracellular region part,1197.3545,1253.321167,1010.899267,1166.485167,1179.5841,1156.4929,1145.4516,1122.804567,1210.232,1161.7113,1074.512333,1111.55
Mitochondrion,1936.800333,1538.852567,1650.101367,1962.990533,1673.751533,1602.089633,2126.966533,2128.116944,2247.509067,2283.771967,2266.8373,2278.572067
Oxidoreductase complex,321.4633,244.9995333,299.9980333,507.2585333,278.1692667,294.7542666,306.9445666,324.0209889,317.173,346.5271,396.0315334,382.5075667
Proteasome regulatory particle (b.s.),59.32520001,78.54946667,87.409,97.31833333,117.3636667,80.687,104.8352667,141.8587556,133.8547667,134.1763,109.1490333,113.6441
Transport vesicle membrane,179.4017666,99.22743333,154.0172667,112.7479333,78.88786667,102.2500667,152.0908333,178.8095111,200.0707,134.3629667,127.6150667,111.2277667
